Name,Status,Type,Phase,Subject,Week,Estimated Hours,Dependencies,Description
"Verify Hardware Setup",Not Started,Setup,Foundation,Subject 9,0,0.5,None,"Check GPU model, RAM, and CPU cores using nvidia-smi and system tools"
"Install Development Environment",Not Started,Setup,Foundation,Subject 9,0,1,Verify Hardware Setup,"Set up Python venv and install initial packages"
"Read Subject 9 (Sections 1-2)",Not Started,Learning,Foundation,Subject 9,1,3,Install Development Environment,"Understand local model deployment and architecture"
"Install Ollama",Not Started,Implementation,Foundation,Subject 9,1,1,Read Subject 9 (Sections 1-2),"Install Ollama inference engine"
"Pull Llama 3.1 8B Model",Not Started,Implementation,Foundation,Subject 9,1,1,Install Ollama,"Download and test 8B model for faster iteration"
"Test Basic Inference",Not Started,Implementation,Foundation,Subject 9,1,2,Pull Llama 3.1 8B Model,"Verify model works with simple queries"
"Build Python LLM Wrapper",Not Started,Implementation,Foundation,Subject 9,1,3,Test Basic Inference,"Create LocalLLM class for API abstraction"
"Read Subject 1 (80/20 Core)",Not Started,Learning,Foundation,Subject 1,2,2,Build Python LLM Wrapper,"Study prompt engineering fundamentals"
"Create Security Prompt Templates",Not Started,Implementation,Foundation,Subject 1,2,3,Read Subject 1 (80/20 Core),"Build prompts for incident classification and password reset"
"Implement Intent Classifier",Not Started,Implementation,Foundation,Subject 1,2,4,Create Security Prompt Templates,"Classify user queries into categories"
"Build Basic Chatbot Class",Not Started,Implementation,Foundation,Subject 1,2,4,Implement Intent Classifier,"Create SecurityChatbot with routing logic"
"Test Chatbot with Sample Queries",Not Started,Implementation,Foundation,Subject 1,2,2,Build Basic Chatbot Class,"Verify chatbot handles 3 question types"
"Week 2 Deliverable: Working Chatbot",Not Started,Deliverable,Foundation,Subject 1,2,0,Test Chatbot with Sample Queries,"Demo-ready chatbot answering 3 common questions"
"Read Subject 4 (Sections 1-2)",Not Started,Learning,Foundation,Subject 4,3,3,Week 2 Deliverable: Working Chatbot,"Understand structured output generation"
"Design Pydantic Schemas for Security",Not Started,Implementation,Foundation,Subject 4,3,2,Read Subject 4 (Sections 1-2),"Create SecurityEvent, IOC, and IncidentClassification schemas"
"Implement Structured Output Generation",Not Started,Implementation,Foundation,Subject 4,3,4,Design Pydantic Schemas for Security,"Modify LLM wrapper to enforce JSON schemas"
"Build Log Parser Tool",Not Started,Implementation,Foundation,Subject 4,3,4,Implement Structured Output Generation,"Parse unstructured logs into SecurityEvent objects"
"Test IOC Extraction",Not Started,Implementation,Foundation,Subject 4,4,3,Build Log Parser Tool,"Validate extraction of IPs, domains, file hashes"
"Add Validation and Error Handling",Not Started,Implementation,Foundation,Subject 4,4,3,Test IOC Extraction,"Graceful degradation on malformed outputs"
"Week 4 Deliverable: Log Parser",Not Started,Deliverable,Foundation,Subject 4,4,0,Add Validation and Error Handling,"Production-ready log parser with JSON output"
"Read Subject 5 (80/20 Core)",Not Started,Learning,Application,Subject 5,5,3,Week 4 Deliverable: Log Parser,"Study RAG architecture and retrieval strategies"
"Read Subject 9 (Section on Local Embeddings)",Not Started,Learning,Application,Subject 9,5,1,Read Subject 5 (80/20 Core),"Understand sentence-transformers and ChromaDB"
"Install ChromaDB and sentence-transformers",Not Started,Setup,Application,Subject 5,5,1,Read Subject 9 (Section on Local Embeddings),"Set up local vector database and embedding model"
"Build LocalRAG Class",Not Started,Implementation,Application,Subject 5,5,4,Install ChromaDB and sentence-transformers,"Implement document ingestion and search"
"Load Security Documentation",Not Started,Implementation,Application,Subject 5,5,3,Build LocalRAG Class,"Chunk and embed playbooks, policies, past incidents"
"Test Retrieval Quality",Not Started,Implementation,Application,Subject 5,6,3,Load Security Documentation,"Measure top-k accuracy, manually verify relevance"
"Integrate RAG with Chatbot",Not Started,Implementation,Application,Subject 5,6,4,Test Retrieval Quality,"Connect RAG to chatbot for knowledge-based answers"
"Implement Reranking",Not Started,Implementation,Application,Subject 5,6,3,Integrate RAG with Chatbot,"Add cross-encoder reranking for precision"
"Week 6 Deliverable: RAG Knowledge Base",Not Started,Deliverable,Application,Subject 5,6,0,Implement Reranking,"Queryable security documentation system"
"Read Subject 2 (Data Engineering)",Not Started,Learning,Application,Subject 2,7,3,Week 6 Deliverable: RAG Knowledge Base,"Study chunking strategies and embedding pipelines"
"Implement Semantic Chunking",Not Started,Implementation,Application,Subject 2,7,4,Read Subject 2 (Data Engineering),"Replace fixed-size with semantic boundary detection"
"Build Embedding Pipeline with Batching",Not Started,Implementation,Application,Subject 2,7,4,Implement Semantic Chunking,"GPU-accelerated batch embedding generation"
"Add Incremental Update Logic",Not Started,Implementation,Application,Subject 2,8,4,Build Embedding Pipeline with Batching,"Only reprocess changed documents"
"Implement Data Versioning",Not Started,Implementation,Application,Subject 2,8,3,Add Incremental Update Logic,"Snapshot vector DB for rollback capability"
"Read Subject 3 (Cost Optimization)",Not Started,Learning,Application,Subject 3,8,2,Implement Data Versioning,"Study token budgeting and model routing"
"Implement Model Router",Not Started,Implementation,Application,Subject 3,8,4,Read Subject 3 (Cost Optimization),"Route simple queries to 8B, complex to 70B"
"Add Context Window Management",Not Started,Implementation,Application,Subject 3,8,3,Implement Model Router,"Priority-based token allocation"
"Week 8 Deliverable: Optimized Pipeline",Not Started,Deliverable,Application,Subject 3,8,0,Add Context Window Management,"Efficient data processing with intelligent routing"
"Read Subject 6 (Observability)",Not Started,Learning,Production,Subject 6,9,3,Week 8 Deliverable: Optimized Pipeline,"Study tracing, logging, and monitoring"
"Implement Structured Logging",Not Started,Implementation,Production,Subject 6,9,3,Read Subject 6 (Observability),"Log all inputs, outputs, latencies with metadata"
"Build Tracing for Multi-Step Workflows",Not Started,Implementation,Production,Subject 6,9,4,Implement Structured Logging,"Trace RAG pipeline: query → retrieval → generation"
"Add VRAM and Latency Monitoring",Not Started,Implementation,Production,Subject 6,10,3,Build Tracing for Multi-Step Workflows,"Track GPU memory and response times"
